Artifact Number,Unit,Depth,Level,Material,Variety of Material,Type of Ware,Provenance,Period,Form,Vessel Part,Number of Pieces,Weight,Length,Width,Thickness,Thickness of base (complete profile),Height of foot rim,Thickness (foot rim),Diameter,MNV,Color Exterior Earthenware (Munsell),Color Interior Earthenware (Munsell),Color Profile Earthenware (Munsell),Remarks,Excavation Date
STABW001,G18-2,80-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Jar,Body,1,9,4.3,3.8,0.4,,,,,,,,,Yuan dynasty blue and white with scroll patterns which goes around the body of the vessel. Panel frames.,
STABW002,NWT07,100-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bowl,Body,1,4,2.4,1.8,0.3,,,,,,,,,Early Ming. Interior-One curved line and two Faint Blue horizontal lines along at the edge of the sherd. Exterior- Curved swirls along the body of the sherd,
STABW003,E20-4,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Rim,1,2,1.5,1.3,0.2,,,,10,,,,,Design not clear. Could possibly be small leaves or fruits from plants.,
STABW004,1,30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Jar,Body,1,3,3.1,0.2,0.5,,,,,,,,,Chrysanthemum,
STABW005,NWT1 0B,60-120,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Cup,Body,1,3,3.6,0.8,0.5,,,,,,,,,Faint traces of blue lines on exterior Small curved pattern at the edge of the sherd in interior,
STABW006,1004A,60-100,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,2.5,0.7,0.4,,,,,,,,,Interior- Dark blue spots Exterior- Curved Line,
STABW007,12,Unknown,3a,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Bowl,Rim,1,2,3.6,1.2,0.2,,,,18,,,,,Yuan. Straight Rim. Exterior- Part of vine Interior- Swirly patterns,
STABW008,59,Unknown,5,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,4,4.9,1.1,0.3,,,,,,,,,Exterior- Design unclear but could be part of framing patter Interior- Bird-like design at the bottom right hand side of the sherd,
STABW009,59,Unknown,5,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century,Bowl,Body,1,3,3.5,2.4,0.3,,,,,,,,,Middle Ming. Exterior- Swirly pattern in the centre of the sherd with lines radiating from the swirl pattern,
STABW010,2001,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,10,5,3,0.4,,,,14.5,,,,,Late Ming 16th Century Straight Vertical Rim Exterior- Vertical Painted brush strokes encapsulated in a faint blue band along the surface of the rim Interior- Faint blue line following the edge of the rim,
STABW011,2001,0-30,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,16th century17th century,Bowl,Rim,1,1,1.5,1.4,0.3,,,,13.5,,,,,Late Ming 16th Century Straight Rim Exterior- Thick blue line along the edge of the rim Interior- Thin blue line along the edge of the rim; From the same vessel as the previous entry,
STABW012,NWT1 - U3A,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,2,2.2,1.7,0.4,,,,,,,,,Exterior- Glaze on the surface has mostly deteriorated faint blue curve line on surface,
STABW013,10,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,2,3.1,1.4,0.3,,,,,,,,,Exterior- Dark curved pattern at the edge with two faint blue lines below that. Interior- Part of Vine with two horizontal blue lines above the vine.,
STABW014,10,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.7,0.9,0.4,,,,,,,,,Interior- Curved blue line across the surface of the sherd with dark blue spots below that could pribably be from a floral or vine design,
STABW015,10,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Jarlet,Body,1,1,1.7,1.3,0.2,,,,,,,,,Small fruits that resemble grapes on the exterior,
STABW016,10,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.8,0.9,0.3,,,,,,,,,Interior- Unknown pattern but there seems to be some curved lines and a dark spot of blue at the corner. Exterior- thin blue lines almost parallel (?),
STABW017,10,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.7,0.6,0.3,,,,,,,,,Two faint blue lines almost parallel to each other on one side of the sherd,
STABW018,E22-3,30-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Cup,Rim,1,2,2.9,2.1,0.2,,,,8.5,,,,,Everted rim. Interior- Thick blue line closest to the edge of the rim followed by a Chinese Scroll pattern. Two parallel curved lines follow the scroll pattern,
STABW019,F21-4,45-70,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,Cup,Rim,1,2,2.8,2.2,0.2,,,,8,,,,,Yuan. Everted Rim. Exterior- Chrysanthemum Vine Interior- Unknown? Curved line with 3 small dots and 1 dot with thick blue pigment,
STABW020,F20-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Cup,Rim,1,6,4.7,2.6,0.3,,,,8,,,,,Middle Ming possibly. Everted. Exterior- Leaf vine Interior- Unknown?,
STABW021,F20-1,50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century,,,1,1,3.4,1.5,0.2,,,,8,,,,,Everted. Exterior- Leaf vine with a blue line on top of the vine Interior- Chinese scroll,
STABW022,5005,30-40,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,15th century16th century17th century,Bowl,Body,1,1,2,1.1,0.4,,,,,,,,,Ming. Thick blue line on the surface of the rim,
STABW023,73,40-50,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,1.5,0.8,0.2,,,,,,,,,Patch of Blue on exterior,
STABW024,25,Unknown,2,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century,Bowl,Body,1,1,2,0.8,0.3,,,,,,,,,Exterior- curved lines that seem to be radiating from a central design Interior- Straight line along the rim with blue curved lines below,
STABW025,H19-3,80-110,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century,Bowl,Body,1,3,2.8,2.5,0.5,,,,,,,,,Early Ming. Exterior- Frame design,
STABW026,76,50-60,Unknown,Ceramics,Porcelain,Porcelain - Blue and White,Jingdezhen,14th century15th century16th century17th century,Bowl,Body,1,1,1.4,1.1,0.3,,,,,,,,,Exterior- Patch of Blue with punctured surface?,
